year,player,games,mpg,ts,ast,turn_over,usg,orr,drr,rebr,per,va,ewa,foreign_player,team,salary,homegames,total_attendence,avg_attendence
2003,Ben Wallace,73,39.4,0.486,16.5,12.1,9.5,12,34.9,23.2,15.62,88.4,2.9,0,Pistons,5000000,41,896971,21877
2003,Chucky Atkins,65,21.5,0.475,23.7,10.4,18.7,2,6.5,4.1,10.97,-0.3,0,0,Pistons,3600000,41,896971,21877
2003,Clifford Robinson,81,34.9,0.477,18.3,10.8,19.2,3,10.1,6.7,12.76,26.5,0.9,0,Pistons,8421000,41,896971,21877
2003,Jerome Williams,71,33,0.525,11.2,11.5,13.6,11,21.2,15.8,14.84,58.4,1.9,0,Raptors,5250000,41,769707,18773
2003,Alvin Williams,78,33.8,0.508,26.8,8.2,19.6,2,8.6,5.3,17.1,120.1,4,0,Raptors,5350000,41,769707,18773
2003,Antonio Davis,53,35.7,0.483,12.9,11.6,19.8,8,19.3,13.1,14.68,44.9,1.5,0,Raptors,12000000,41,769707,18773
2003,Morris Peterson,82,36,0.488,12.6,8.5,18.9,4,10.7,7,13.13,57.8,1.9,0,Raptors,1033000,41,769707,18773
2003,Mamadou N'diaye,22,16.5,0.514,4.8,14.5,15.6,9,17.3,12.8,12.76,5.9,0.2,0,Raptors,852000,41,769707,18773
2003,Lindsey Hunter,29,23.2,0.434,15.8,12.6,24.3,2,7.8,5,11.81,6.6,0.2,0,Raptors,3000000,41,769707,18773
2003,Michael Bradley,67,19.6,0.492,13.8,15.6,13.6,13,22.4,17.7,12.19,6.7,0.2,0,Raptors,1208000,41,769707,18773
2003,Damone Brown,5,23,0.363,6.3,12.6,16.1,3,12.4,7.4,2.3,-7.9,-0.3,0,Raptors,512000,41,769707,18773
2003,Vince Carter,43,34.2,0.532,13.7,7.1,26.3,4,10.4,7.3,22.48,131.5,4.4,0,Raptors,10625000,41,769707,18773
2003,James Posey,83,30.3,0.519,15.5,12.1,21.2,4.1,15.4,9.8,13.53,56.9,1.9,0,Rockets,1723000,40,699280,17482
2003,Moochie Norris,82,16.8,0.47,29.6,13,15.8,3,10,6.7,12.07,10.9,0.4,0,Rockets,3600000,40,699280,17482
2003,Maurice Taylor,67,20.6,0.472,8.7,13.1,21.4,8,11.7,10,11.92,4.3,0.1,0,Rockets,7150000,40,699280,17482
2003,Kelvin Cato,73,17.1,0.535,5.2,14.5,12.3,12,26.7,19.8,14.07,32.3,1.1,0,Rockets,6696000,40,699280,17482
